ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S12,Surguja,MADHYA PRADESH,Khel Sai Singh,INC,1999,12,ST,7,M,297778
S12,Raigarh,MADHYA PRADESH,Vishnudeo Sai,BJP,1999,13,ST,7,M,276244
S12,Janjgir,MADHYA PRADESH,Dr. Charandas Mahant,INC,1999,14,GEN,7,M,278931
S12,Bilaspur,MADHYA PRADESH,Punnulal Mohale,BJP,1999,15,SC,7,M,274860
S12,Sarangarh,MADHYA PRADESH,P. R. Khute,BJP,1999,16,SC,7,M,281769
S12,Raipur,MADHYA PRADESH,Ramesh Bais,BJP,1999,17,GEN,7,M,354736
S12,Mahasamund,MADHYA PRADESH,Shyama Charan Shukla,INC,1999,18,GEN,7,M,340635
S12,Kanker,MADHYA PRADESH,Sohan Potai,BJP,1999,19,ST,7,M,318040
S12,Bastar,MADHYA PRADESH,Baliram Kashyap,BJP,1999,20,ST,7,M,155421
S12,Durg,MADHYA PRADESH,Tara Chand Sahu,BJP,1999,21,GEN,7,M,389777
S12,Rajnandgaon,MADHYA PRADESH,Dr. Raman,BJP,1999,22,GEN,7,M,304611
S12,Balaghat,MADHYA PRADESH,Prahladsingh Patel,BJP,1999,23,GEN,7,M,251308
S12,Mandla,MADHYA PRADESH,Faggan Singh Kulaste,BJP,1999,24,ST,7,M,232042
S12,Jabalpur,MADHYA PRADESH,Jaishree Banerjee ( Bhabhi Ji),BJP,1999,25,GEN,7,F,300648
S12,Seoni,MADHYA PRADESH,Ram Naresh Tripathi,BJP,1999,26,GEN,7,M,282891
S12,Chhindwara,MADHYA PRADESH,Kamal Nath,INC,1999,27,GEN,7,M,399904
S12,Betul,MADHYA PRADESH,"Vijay Kumar Khandelwal "" Munni Bhaiya""",BJP,1999,28,GEN,7,M,272512
S12,Hoshangabad,MADHYA PRADESH,Sundar Lal Patwa,BJP,1999,29,GEN,7,M,353760
S12,Bhopal,MADHYA PRADESH,Uma Bharti,BJP,1999,30,GEN,7,F,537905
S12,Vidisha,MADHYA PRADESH,Shivraj Singh,BJP,1999,31,GEN,7,M,360421
S12,Rajgarh,MADHYA PRADESH,Laxman Singh,INC,1999,32,GEN,7,M,354234
S12,Shajapur,MADHYA PRADESH,Thavarchand Gehlot,BJP,1999,33,SC,7,M,387607
S12,Khandwa,MADHYA PRADESH,Nandkumarsingh Chouhan ( Nandu Bhaiya ),BJP,1999,34,GEN,7,M,364161
S12,Khargone,MADHYA PRADESH,Tarachand Patel,INC,1999,35,GEN,7,M,354133
S12,Dhar,MADHYA PRADESH,Gajendra Singh Rajukhedi,INC,1999,36,ST,7,M,355482
S12,Indore,MADHYA PRADESH,Sumitra Mahajan,BJP,1999,37,GEN,7,F,474167
S12,Ujjain,MADHYA PRADESH,Dr. Satyanarayan Jatiya,BJP,1999,38,SC,7,M,360103
S12,Jhabua,MADHYA PRADESH,Kantilal Bhuriya,INC,1999,39,ST,7,M,371842
S12,Mandsaur,MADHYA PRADESH,Dr. Lakshaminarayan Pandey,BJP,1999,40,GEN,7,M,395928
S13,Rajapur,MAHARASHTRA,Suresh Prabhakar Prabhu,SHS,1999,1,GEN,7,M,221523
S13,Ratnagiri,MAHARASHTRA,Anant Gangaram Geete,SHS,1999,2,GEN,7,M,293834
S13,Kolaba,MAHARASHTRA,Ramsheth Thakur,PWPI,1999,3,GEN,7,M,274361
S13,Mumbai South,MAHARASHTRA,Jayawanti Mehta,BJP,1999,4,GEN,7,F,144945
S13,Mumbai South Central,MAHARASHTRA,Mohan Vishnu Rawale,SHS,1999,5,GEN,7,M,176323
S13,Mumbai North Central,MAHARASHTRA,Manohar Gajanan Joshi,SHS,1999,6,GEN,7,M,294935
S13,Mumbai North East,MAHARASHTRA,Kirit Somaiya,BJP,1999,7,GEN,7,M,400436
S13,Mumbai North West,MAHARASHTRA,Sunil Dutt,INC,1999,8,GEN,7,M,366669
S13,Mumbai North,MAHARASHTRA,Ram Naik,BJP,1999,9,GEN,7,M,517941
