RAIGARH (ST),Madhya Pradesh, NAND KUMAR SAI,BJP,1996
RAIPUR,Madhya Pradesh, RAMESH VAISH,BJP,1996
RAJGARH,Madhya Pradesh, LAXMAN SINGH,INC,1996
RAJNANDGAON,Madhya Pradesh, ASHOK SHARMA,BJP,1996
REWA,Madhya Pradesh, BUDDHA HASEN  PATEL,BSP,1996
SAGAR (SC),Madhya Pradesh, VIRENDRA KUMAR,BJP,1996
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARDWAJ,INC,1996
SATNA,Madhya Pradesh, SUKHLAL KUSHWAHA,BSP,1996
SEONI,Madhya Pradesh, PRAHLAD SINGH PATEL,BJP,1996
SHAHDOL (ST),Madhya Pradesh, GYAN SINGH,BJP,1996
SHAJAPUR (SC),Madhya Pradesh, THAWARCHAND GEHLOT,BJP,1996
SIDHI (ST),Madhya Pradesh, TILAK RAJ SINGH,AIIC(T),1996
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1996
UJJAIN (SC),Madhya Pradesh, SATYANARIAN JATIYA,BJP,1996
VIDISHA,Madhya Pradesh, SHIVRAJ SINGH,BJP,1996
MORENA (SC) ,Madhya Pradesh,ASHOK ARGAL ,BJP,1996
MANDSAUR ,Madhya Pradesh,LAXMINARIAN PANDEY ,BJP,1996
AHMEDNAGAR,Maharashtra, MARUTI DEORAM ALIAS DADA PATIL SHELKE,INC,1996
AKOLA,Maharashtra, PHUNDKAR PANDURANG PUNDLIK,BJP,1996
AMRAVATI,Maharashtra, GUDHE ANANTRAO MAHADEOAPPA,SHS,1996
AURANGABAD,Maharashtra, JAISWAL PRADEEP,SHS,1996
BARAMATI,Maharashtra, PAWAR SHARADCHANDRA GOVINDRAO,INC,1996
BEED,Maharashtra, RAJANI ASHOKRAO PATIL,BJP,1996
BHANDARA,Maharashtra, PATEL PRAFUL MANOHARBHAI,INC,1996
BULDHANA (SC),Maharashtra, ADSUL ANANDRAO VITHOBA,SHS,1996
CHANDRAPUR,Maharashtra, AHIR HANSARAJ GANGARAM,BJP,1996
CHIMUR,Maharashtra, DIWATE NAMDEO HARBAJI,BJP,1996
DAHANU (ST),Maharashtra, CHINTAMAN WANAGA,BJP,1996
DHULE,Maharashtra, (ST) BAGUL SAHEBRAO SUKRAM,BJP,1996
ERANDOL,Maharashtra, ANNASAHEB PATIL M.K.,BJP,1996
HINGOLI,Maharashtra, MANE SHIVAJI GYANBARAO,SHS,1996
JALGAON,Maharashtra, GUNWANTRAO RAMBHAU SARODE,BJP,1996
JALNA,Maharashtra, PAWAR UTTAMSING RAJDHARSING,BJP,1996
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISAHEB,INC,1996
KHED,Maharashtra, SHERKAR NIVRUTTISHETH NAMDEO,INC,1996
KOLABA,Maharashtra, ANTULAY ABDUL RAHIMAN A. GAFOOR,INC,1996
KOPARGAON,Maharashtra, BADADE BHIMRAO VISHNUJI,BJP,1996
LATUR,Maharashtra, SHIVRAJ VISHWANATH PATIL,INC,1996
MALEGAON (ST),Maharashtra, RAUT KACHARU BHAU,BJP,1996
NAGPUR,Maharashtra, BANWARILAL PUROHIT,BJP,1996
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODLYA,INC,1996
NASHIK,Maharashtra, GODASE RAJARAM PARASHRAM,SHS,1996
OSMANABAD (SC),Maharashtra, KAMBLE SHIVAJI VITHALRAO,SHS,1996
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1996
PUNE,Maharashtra, SURESH KALMADI,INC,1996
RAMTEK,Maharashtra, MEGHE DATTATRAY RAGHOBAJI,INC,1996
SANGLI,Maharashtra, PATIL MADAN VISHWANATH,INC,1996
SATARA,Maharashtra, NAIK NIMBALKAR HINDURAO NILKANTHRAO,SHS,1996
SHOLAPUR,Maharashtra, VALYAL LINGRAJ BALAIRAYYA,BJP,1996
THANE,Maharashtra, PARANJPE PRAKASH VISHWANATH,SHS,1996
WARDHA,Maharashtra, MUDE VIJAY ANNAJI,BJP,1996
WASHIM,Maharashtra, GAWALI PUNDLIKRAO RAMJI,SHS,1996
YAVATMAL,Maharashtra, RAJABHAU GANESHRAO THAKARE,BJP,1996
RAJAPUR ,Maharashtra,SURESH PRABHU ,SHS,1996
RATNAGIRI ,Maharashtra,ANANT GANGARAM GEETE ,SHS,1996
MUMBAI SOUTH ,Maharashtra,JAYAWANTIBEN MEHTA ,BJP,1996
MUMBAI SOUTH CENTRAL ,Maharashtra,MOHAN VISHNU RAWALE ,SHS,1996
MUMBAI NORTH CENTRAL ,Maharashtra,NARAYAN GAJANAN ATHAWALE ,SHS,1996
MUMBAI NORTH EAST ,Maharashtra,PRAMOD MAHAJAN ,BJP,1996
MUMBAI NORTH WEST ,Maharashtra,MADHUKAR SIRPOTDAR ,SHS,1996
MUMBAI NORTH ,Maharashtra,RAM NAIK ,BJP,1996
NANDED ,Maharashtra,KUNTURKAR GANGADHARRAO MOHANRAO DESHMUKH ,INC,1996
PARBHANI ,Maharashtra,JADHAV SURESH RAMRAO ,SHS,1996
ICHALKARANJI ,Maharashtra,AWADE KALLAPPA BABURAO ,INC,1996
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1996
ASKA,Orissa, BIJU PATNAIK,JD,1996
BALASORE,Orissa, KARTIK MOHAPATRA,INC,1996
BERHAMPUR,Orissa, P V NARASIMHA RAO,INC,1996
BHADRAK (SC),Orissa, MURALIDHAR JENA,INC,1996
BHUBANESWAR,Orissa, SOUMYA RANJAN PATTNAIK,INC,1996
BOLANGIR,Orissa, SARAT PATTANAYAK,INC,1996
CUTTACK,Orissa,ANADI CHARAN SAHU,INC,1996
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1996
DHENKANAL,Orissa, KAMAKHYA PRASAD SINGH DEO,INC,1996
JAGATSINGHPUR,Orissa, RANJIB BISWAL,INC,1996
JAJPUR (SC),Orissa, ANCHAL DAS,JD,1996
KALAHANDI,Orissa, BHAKTA CHARAN DAS,SAP,1996
KENDRAPARA,Orissa, SRIKANTA KUMAR JENA,JD,1996
KORAPUT (ST),Orissa, GIRIDHARI GAMANG,INC,1996
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1996
PHULBANI (SC),Orissa, MRUTYUNJYA NAYAK,INC,1996
PURI,Orissa, PINAKI MISHRA,INC,1996
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1996
SUNDARGARH (ST),Orissa, FRIDA TOPNO,INC,1996
MAYURBHANJ (ST) ,Orissa,SUSHILA TIRIYA ,INC,1996
KEONJHAR (ST) ,Orissa,MADHABA SARDAR ,INC,1996
AMRITSAR,Punjab, RAGHNANDAN LAL BHATIA,INC,1996
BHATINDA (SC),Punjab, HARINDER SINGH KHALSA(NORWAY),SAD,1996
FARIDKOT,Punjab, SUKHBIR SINGH BADAL,SAD,1996
HOSHIARPUR,Punjab, KANSHI RAM,BSP,1996
JULLUNDUR,Punjab, DARBARA SINGH,SAD,1996
LUDHIANA,Punjab, AMRIK SINGH ALIWAL,SAD,1996
PHILLAUR (SC),Punjab, HARBHAJAN LAKHA,BSP,1996
ROPAR,Punjab, (SC) BASANT SINGH,SAD,1996
SANGRUR,Punjab, SURJEET SINGH BARNALA,SAD,1996
TARN TARAN,Punjab, MAJOR SINGH UBOKE,SAD,1996
GURDASPUR ,Punjab,SUKHBUNS KAUR, INC,1996
PATIALA ,Punjab,PREM SINGH CHANDUMAJRA ,SAD,1996
FEROZEPUR ,Punjab,MOHAN SINGH ,BSP,1996
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1996
ALWAR,Rajasthan, NAWAL KISHORE,INC,1996
BANSWARA (ST),Rajasthan, TARACHAND BHAGORA,INC,1996
BARMER,Rajasthan, SONA RAM,INC,1996
