ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S10,KARNATAKA,28,BIJAPUR,GEN,3,1998,PATIL MALLANAGOUDA BASANAGOUDA,M,INC,261623
S11,KERALA,1,KASARAGOD,GEN,3,1998,T. Govindan,M,CPM,395910
S11,KERALA,2,CANNANORE,GEN,3,1998,Mullappally Ramachandran,M,INC,380465
S11,KERALA,3,BADAGARA,GEN,3,1998,A.K. Premajam,F,CPM,407876
S11,KERALA,4,CALICUT,GEN,3,1998,Adv. P. Sankaran,M,INC,356392
S11,KERALA,5,MANJERI,GEN,3,1998,E. Ahamed,M,MUL,400609
S11,KERALA,6,PONNANI,GEN,3,1998,G.M. Banatwalla,M,MUL,344461
S11,KERALA,7,PALGHAT,GEN,3,1998,N.N. Krishnadas,M,CPM,345963
S11,KERALA,8,OTTAPALAM,SC,3,1998,S. Ajayakumar,M,CPM,335376
S11,KERALA,9,TRICHUR,GEN,3,1998,V.V. Raghavan,M,CPI,340216
S11,KERALA,10,MUKUNDAPURAM,GEN,3,1998,A.C. Jose,M,INC,347945
S11,KERALA,11,ERNAKULAM,GEN,3,1998,Adv. George Eden,M,INC,389387
S11,KERALA,12,MUVATTUPUZHA,GEN,3,1998,Adv. P.C. Thomas,M,KEC(M),356168
S11,KERALA,13,KOTTAYAM,GEN,3,1998,Suresh Kurup,M,CPM,335893
S11,KERALA,14,IDUKKI,GEN,3,1998,P.C.Chacko,M,INC,333999
S11,KERALA,15,ALLEPPEY,GEN,3,1998,V.M. Sudheeran,M,INC,386180
S11,KERALA,16,MAVELIKARA,GEN,3,1998,Prof. P.J. Kurien,M,INC,275001
S11,KERALA,17,ADOOR,SC,3,1998,Chengara Surendran,M,CPI,333297
S11,KERALA,18,QUILON,GEN,3,1998,N.K. Premachandran,M,RSP,396145
S11,KERALA,19,CHIRAYINKIL,GEN,3,1998,Varkala Radhakrishnan,M,CPM,321479
S11,KERALA,20,TRIVANDRUM,GEN,3,1998,K. Karunakaran,M,INC,337429
S12,MADHYA PRADESH,1,MORENA,SC,3,1998,ASHOK CHHABIRAM,M,BJP,277499
S12,MADHYA PRADESH,2,BHIND,GEN,3,1998,DR. RAM LAKHAN SINGH,M,BJP,292682
S12,MADHYA PRADESH,3,GWALIOR,GEN,3,1998,MADHAVRAO SCINDIA,M,INC,284365
S12,MADHYA PRADESH,4,GUNA,GEN,3,1998,RAJMATA VIJAYA RAJE SCINDIA,F,BJP,336151
S12,MADHYA PRADESH,5,SAGAR,SC,3,1998,VIRENDRA KUMAR,M,BJP,336638
S12,MADHYA PRADESH,6,KHAJURAHO,GEN,3,1998,UMA BHARTI,F,BJP,351607
S12,MADHYA PRADESH,7,DAMOH,GEN,3,1998,DR. RAMKRISHNA KUSMARIA,M,BJP,312057
S12,MADHYA PRADESH,8,SATNA,GEN,3,1998,RAMANAND SINGH,M,BJP,263011
S12,MADHYA PRADESH,9,REWA,GEN,3,1998,CHANDRAMANI TRIPATHI,M,BJP,276367
S12,MADHYA PRADESH,10,SIDHI,ST,3,1998,JAGANNATH SINGH,M,BJP,275803
S12,MADHYA PRADESH,11,SHAHDOL,ST,3,1998,GYAN SINGH,M,BJP,296764
S12,MADHYA PRADESH,12,SURGUJA,ST,3,1998,LARANG SAI,M,BJP,295452
S12,MADHYA PRADESH,13,RAIGARH,ST,3,1998,AJIT JOGI,M,INC,325112
S12,MADHYA PRADESH,14,JANJGIR,GEN,3,1998,CHARANDAS MAHANT,M,INC,290175
S12,MADHYA PRADESH,15,BILASPUR,SC,3,1998,PUNNULAL MOHLE,M,BJP,274793
S12,MADHYA PRADESH,16,SARANGARH,SC,3,1998,PARAS RAM BHARADWAJ,M,INC,217558
S12,MADHYA PRADESH,17,RAIPUR,GEN,3,1998,RAMESH BAIS,M,BJP,344380
S12,MADHYA PRADESH,18,MAHASAMUND,GEN,3,1998,CHANDRASHEKHAR SAHU (CHAMPU),M,BJP,332874
S12,MADHYA PRADESH,19,KANKER,ST,3,1998,SOHAN POTAI,M,BJP,270121
S12,MADHYA PRADESH,20,BASTAR,ST,3,1998,BALIRAM KASHYAP,M,BJP,151484
S12,MADHYA PRADESH,21,DURG,GEN,3,1998,TARACHAND SAHU,M,BJP,384901
S12,MADHYA PRADESH,22,RAJNANDGAON,GEN,3,1998,MOTILAL VORA,M,INC,304709
S12,MADHYA PRADESH,23,BALAGHAT,GEN,3,1998,GAURISHANKAR CHATURBHUJ BISEN,M,BJP,240066
S12,MADHYA PRADESH,24,MANDLA,ST,3,1998,FAGGAN SINGH KULASTE,M,BJP,268739
S12,MADHYA PRADESH,25,JABALPUR,GEN,3,1998,DADA BABURAO PARANJPE,M,BJP,300584
S12,MADHYA PRADESH,26,SEONI,GEN,3,1998,VIMLA VARMA,F,INC,312097
