PC Name,State ,Winner,Party,Year,PC NO
 Koraput  , Orissa  , Jayaram Pangi  ,BJD,2009,21
 Gurdaspur  , Punjab  , Partap Singh Bajwa  ,INC  ,2009,1
 Amritsar  , Punjab  , Navjot Singh Sidhu  ,BJP,2009,2
 Khadoor Sahib  , Punjab  , Dr. Rattan Singh Ajnala  ,SAD,2009,3
 Jalandhar  , Punjab  , Mohinder Singh Kaypee  ,INC  ,2009,4
 Hoshiarpur  , Punjab  , Santosh Chowdhary  ,INC  ,2009,5
 Anandpur Sahib  , Punjab  , Ravneet Singh  ,INC  ,2009,6
 Ludhiana  , Punjab  , Manish Tewari  ,INC  ,2009,7
 Fatehgarh Sahib  , Punjab  , Sukhdev Singh  ,INC  ,2009,8
 Faridkot  , Punjab  , Paramjit Kaur Gulshan  ,SAD,2009,9
 Ferozpur  , Punjab  , Sher Singh Ghubaya  ,SAD,2009,10
 Bathinda  , Punjab  , Harsimrat Kaur Badal  ,SAD,2009,11
 Sangrur  , Punjab  , Vijay Inder Singla  ,INC  ,2009,12
 Patiala  , Punjab  , Preneet Kaur  ,INC  ,2009,13
 Ganganagar  , Rajasthan  , Bharat Ram Meghwal  ,INC  ,2009,1
 Bikaner  , Rajasthan  , Arjun Ram Meghwal  ,BJP,2009,2
 Churu  , Rajasthan  , Ram Singh Kaswan  ,BJP,2009,3
 Jhunjhunu  , Rajasthan  , Sheesh Ram Ola  ,INC  ,2009,4
 Sikar  , Rajasthan  , Mahadev Singh  ,INC  ,2009,5
 Jaipur Rural  , Rajasthan  , Lal Chand Kataria  ,INC  ,2009,6
 Jaipur  , Rajasthan  , Mahesh Joshi  ,INC  ,2009,7
 Alwar  , Rajasthan  , Jitendra Singh  ,INC  ,2009,8
 Bharatpur  , Rajasthan  , Ratan Singh  ,INC  ,2009,9
 Karauli-Dholpur  , Rajasthan  , Khiladi Lal Bairwa  ,INC  ,2009,10
 Dausa  , Rajasthan  , Kirodi Lal  ,IND,2009,11
Tonk-Sawai Madhopur, Rajasthan  ,Namo Narain,INC,2009,12
 Ajmer  , Rajasthan  , Sachin Pilot  ,INC  ,2009,13
 Nagaur  , Rajasthan  , Dr. Jyoti Mirdha  ,INC  ,2009,14
 Pali  , Rajasthan  , Badri Ram Jakhar  ,INC  ,2009,15
 Jodhpur  , Rajasthan  , Chandresh Kumari  ,INC  ,2009,16
 Barmer  , Rajasthan  , Harish Choudhary  ,INC  ,2009,17
 Jalore  , Rajasthan  , Devji Patel  ,BJP,2009,18
 Udaipur  , Rajasthan  , Raghuvir Singh Meena  ,INC  ,2009,19
 Banswara  , Rajasthan  , Tarachand Bhagora  ,INC  ,2009,20
 Chittorgarh  , Rajasthan  , (Dr.)girija Vyas  ,INC  ,2009,21
 Rajsamand  , Rajasthan  , Gopal Singh  ,INC  ,2009,22
 Bhilwara  , Rajasthan  , Dr. C. P. Joshi  ,INC  ,2009,23
 Kota  , Rajasthan  , Ijyaraj Singh  ,INC  ,2009,24
 Jhalawar-Baran  , Rajasthan  , Dushyant Singh  ,BJP,2009,25
 Thiruvallur  , Tamil Nadu  , Venugopal.P  ,ADMK,2009,1
 Chennai North  , Tamil Nadu  , Elangovan T.K.S  ,DMK,2009,2
