Constituency,State,MP,Party,Year
BARAMATI,Maharashtra, PAWAR SHARADCHANDRA GOVINDRAO,ICS,1984
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1984
KARAD,Maharashtra, CHAVAN PREMALABAI DAJISAHEB,INC,1984
SANGLI,Maharashtra, PATIL PRAKASH VASANTRAO,INC,1984
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1984
RAJAPUR ,Maharashtra,MADHU DANDAVATE ,JNP,1984
BOMBAY SOUTH CENTRAL ,Maharashtra,DATTA  SAMANT ,IND,1984
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1984
BOMBAY NORTH EAST ,Maharashtra,GURUDAS KAMAT ,INC,1984
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT ,INC,1984
BOMBAY NORTH ,Maharashtra,ANOOPCHAND KHIMCHAND SHAH ,INC,1984
NASHIK ,Maharashtra,MANE MURLIDHAR PANDURANG ,INC,1984
NANDURBAR (ST) ,Maharashtra,GAVIT MANIKRAO HOLDYA ,INC,1984
SHOLAPUR ,Maharashtra,KUCHAN GANGADHAR SINRAMAPPA ,INC,1984
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1984
BALASORE,Orissa, CHINTAMANI JENA,INC,1984
BHADRAK (SC),Orissa, ANANTA PRASAD SETHI,INC,1984
JAJPUR (SC),Orissa, ANADI CHARAN DAS,INC,1984
KENDRAPARA,Orissa, BIJAYANANDA PATTNAIK,JNP,1984
CUTTACK,Orissa, JAYANTI PATTANIK,INC,1984
JAGATSINGHPUR,Orissa, LAKSHMAN MALLICK,INC,1984
PURI,Orissa, BRAJAMOHAN MOHENTY,INC,1984
BHUBANESWAR,Orissa, CHINTAMONI PANIGRAHI,INC,1984
ASKA,Orissa, SOMNATH RATH,INC,1984
BERHAMPUR,Orissa, R.JAGANNATH RAO,INC,1984
KORAPUT (ST),Orissa, GRIDHAR GOMANGO,INC,1984
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1984
KALAHANDI,Orissa, JAGANNATH PATNAIK,INC,1984
PHULBANI (SC),Orissa, RADHA KANTA DIGAL,INC,1984
BOLANGIR,Orissa, NITYANAND MISRA,INC,1984
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1984
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1984
MAYURBHANJ (ST) ,Orissa,SIDHALAL MURMU ,INC,1984
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGH DEO MAHINDRA BAHADUR, INC,1984
SUNDARGARH (ST) ,Orissa,MAURICE KUJUR ,INC,1984
KEONJHAR (ST) ,Orissa,HARINDER SOREN ,INC,1984
BIKANER,Rajasthan, MANPHOOL SINGH,INC,1984
CHURU,Rajasthan, MOHAR SINGH,INC,1984
JHUNJHUNU,Rajasthan, MOHD. AYUB KHAN,INC,1984
SIKAR,Rajasthan, BAL RAM,INC,1984
JAIPUR,Rajasthan, NAWAL KISHORE SHARMA,INC,1984
DAUSA,Rajasthan, RAJESH PILOT,INC,1984
ALWAR,Rajasthan, RAM SINGH YADEV,INC,1984
BHARATPUR,Rajasthan, K.NATWAR SINGH,INC,1984
BAYANA (SC),Rajasthan, LALA RAM KEN,INC,1984
AJMER,Rajasthan, VISHNU KUMAR MODI,INC,1984
TONK (SC),Rajasthan, BANWARI LAL,INC,1984
KOTA,Rajasthan, SHANTI KUMAR DHARIWAL,INC,1984
JHALAWAR,Rajasthan, JUJHARSINGH,INC,1984
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1984
SALUMBER (ST),Rajasthan, ALKHA RAM,INC,1984
UDAIPUR,Rajasthan, INDUBALA SUKHADIA,INC,1984
CHITTORGARH,Rajasthan, NIRMLA KUMARI,INC,1984
BHILWARA,Rajasthan, GIRDHARI LAL VYAS,INC,1984
PALI,Rajasthan, MOOL CHAND DAGA,INC,1984
JALORE (SC),Rajasthan, BUTA SINGH,INC,1984
JODHPUR,Rajasthan, ASHOK GEHLOT,INC,1984
GANGANAGAR (SC) ,Rajasthan,BIRBAL ,INC,1984
SAWAI MADHOPUR (ST) ,Rajasthan,RAM KUMAR ,INC,1984
BARMER ,Rajasthan,VIRDHI CHAND,INC,1984
NAGAUR ,Rajasthan,RAM NIWAS,INC,1984
MADRAS CENTRAL,Tamil Nadu, KALANIDHI A.,DMK,1984
MADRAS SOUTH,Tamil Nadu, VYJAYANTHIMALA,INC,1984
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKHAR,INC,1984
CHENGALPATTU,Tamil Nadu, S. JAGATHRAKSHAKAN,ADK,1984
ARAKKONAM,Tamil Nadu, R. JEEVARATHINAM,INC,1984
VELLORE,Tamil Nadu, A.C. SHANMUGAM,ADK,1984
TIRUPPATTUR,Tamil Nadu, JAYAMOHAN A.,INC,1984
VANDAVASI,Tamil Nadu, BALARAMAN L.,INC,1984
TINDIVANAM,Tamil Nadu, S.S. ERAMASAMY PADAYATCHI,INC,1984
CUDDALORE,Tamil Nadu, VENKATESAN P.R.S.,INC,1984
CHIDAMBARAM (SC),Tamil Nadu, VALLALPERUMAN P.,INC,1984
DHARMAPURI,Tamil Nadu, M. THAMBI DURIAI,ADK,1984
KRISHNAGIRI,Tamil Nadu, K. RAMAMURTHI,INC,1984
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC,1984
SALEM,Tamil Nadu, RANGARAJAN KUMAR MANGALAM,INC,1984
TIRUCHENGODE,Tamil Nadu, KANNAN P.,ADK,1984
NILGIRIS,Tamil Nadu, R.PRABHU,INC,1984
GOBICHETTIPALAYAM,Tamil Nadu, KHOLANDAIVELU P.,ADK,1984
COIMBATORE,Tamil Nadu, KUPPUSWAMY C. K.,INC,1984
POLLACHI (SC),Tamil Nadu, ANNA NAMBI R.,ADK,1984
PALANI,Tamil Nadu, SENAPATHY GOUNDER A.,INC,1984
DINDIGUL,Tamil Nadu, K.R. NATARAJAN,ADK,1984
MADURAI,Tamil Nadu, SUBBURAMAN A.G.,INC,1984
PERIYAKULAM,Tamil Nadu, SELVENDRAN P.,ADK,1984
KARUR,Tamil Nadu, MURUGAIAH A. R.,INC,1984
TIRUCHIRAPPALLI,Tamil Nadu, ADAIKALARAJ,INC,1984
PERAMBALUR (SC),Tamil Nadu, S. THANGARAJU,ADK,1984
MAYILADUTURAI,Tamil Nadu, PAKEER MOHAMED E.S.M.,INC,1984
NAGAPATTINAM (SC),Tamil Nadu, MAHALINGAM, M.,1984
THANJAVUR,Tamil Nadu, SINGARAVADIVEL,INC,1984
PUDUKKOTTAI,Tamil Nadu, SUNDARARAJ N.,INC,1984
SIVAGANGA,Tamil Nadu, P. CHIDAMBARAM,INC,1984
RAMANATHAPURAM,Tamil Nadu, V. RAJESHWARAN,INC,1984
SIVAKASI,Tamil Nadu, N. SOUNDARARAJAN,ADK,1984
TIRUNELVELI,Tamil Nadu, M.R. JANARDHANAN,ADK,1984
TENKASI (SC),Tamil Nadu, M. ARUNACHALAM,INC,1984
TIRUCHENDUR,Tamil Nadu, K.T. KOSALRAM,INC,1984
MADRAS NORTH ,Tamil Nadu,N.V.N.SOMU ,DMK,1984
NAGERCOIL ,Tamil Nadu,N. DENNIS ,INC,1984
GARHWAL,Uttar Pradesh, CHANDRA MOHAN SINGH,INC,1984
ALMORA,Uttar Pradesh, HARISH CHANDRA SINGH,INC,1984
NAINITAL,Uttar Pradesh, SATENDRA CHANDRA,INC,1984
BIJNOR (SC),Uttar Pradesh, GIRDHAR LAL,INC,1984
AMROHA,Uttar Pradesh, RAM PAL SINGH,INC,1984
MORADABAD,Uttar Pradesh, HAFIZ MOHD. SIDDIQUE,INC,1984
RAMPUR,Uttar Pradesh, ZULFIQUAR ALI KHAN,INC,1984
SAMBHAL,Uttar Pradesh, SHANTI DEVI,INC,1984
AONLA,Uttar Pradesh, KALYAN SINGH SOLANKI,INC,1984
BAREILLY,Uttar Pradesh, ABIDA AHMAD,INC,1984
PILIBHIT,Uttar Pradesh, BHANU PRATAP SINGH,INC,1984
SHAHJAHANPUR,Uttar Pradesh, JITENDRA PRASAD,INC,1984
KHERI,Uttar Pradesh, USHA KUMARI,INC,1984
SHAHABAD,Uttar Pradesh, DHARAMGAJ SINGH,INC,1984
SITAPUR,Uttar Pradesh, RAJENDRA KUMARI,INC,1984
MISRIKH (SC),Uttar Pradesh, SANKATA PRASAD,INC,1984
HARDOI (SC),Uttar Pradesh, KINDAR LAL,INC,1984
LUCKNOW,Uttar Pradesh, SHEILA KAUL,INC,1984
MOHANLALGANJ (SC),Uttar Pradesh, JAGANNATH PD.,INC,1984
UNNAO,Uttar Pradesh, ZIAURRAHMAN ANSARI,INC,1984
RAE BARELI,Uttar Pradesh, ARUN KUMAR NEHRU,INC,1984
PRATAPGARH,Uttar Pradesh, RAJA DINESH SINGH,INC,1984
