Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
SUNDARGARH (ST) ,Orissa,CHRISTOPHER EKKA ,INC(I),1980,,,,,
AMRITSAR,Punjab, RAGHUNANDAN LAL,INC(I),1980,,,,,
BHATINDA (SC),Punjab, HAKAM SINGH,INC(I),1980,,,,,
FARIDKOT,Punjab, GURBINDER KAUR,INC(I),1980,,,,,
FEROZEPUR ,Punjab,BAL RAM ,INC(I),1980,,,,,
GURDASPUR ,Punjab,SUKHBANS KAUR ,INC(I),1980,,,,,
HOSHIARPUR,Punjab, ZAIL SINGH,INC(I),1980,,,,,
JULLUNDUR,Punjab, RAJINDER SINGH SPARROW,INC(I),1980,,,,,
LUDHIANA,Punjab, DEVINDER SINGH GARCHA,INC(I),1980,,,,,
PATIALA,Punjab, AMARENDER SINGH,INC(I),1980,,,,,
PHILLAUR (SC),Punjab, CH. SUNDAR SINGH,INC(I),1980,,,,,
ROPAR,Punjab, (SC) BUTA SINGH,INC(I),1980,,,,,
SANGRUR,Punjab, GURCHARAN SINGH,INC(I),1980,,,,,
TARN TARAN,Punjab, LEHNA SINGH,SAD,1980,,,,,
AJMER,Rajasthan, ACHARYA BHAGWAN DEV,INC(I),1980,,,,,
ALWAR,Rajasthan, RAM SINGH YADAV,INC(I),1980,,,,,
BANSWARA (ST),Rajasthan, BHIKHA BHAI,INC(I),1980,,,,,
BARMER,Rajasthan, VIRDHI CHAND,INC(I),1980,,,,,
