Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
BAYANA (SC),Rajasthan, JAGANNATH PERSAD PAHADIA,INC(I),1980,,,,,
BHARATPUR,Rajasthan, RAJESH PILOT,INC(I),1980,,,,,
BHILWARA,Rajasthan, GIRDHARI LAL,INC(I),1980,,,,,
BIKANER,Rajasthan, MANFOOL SINGH,INC(I),1980,,,,,
CHITTORGARH,Rajasthan, NRIMALA KUMARI,INC(I),1980,,,,,
CHURU ,Rajasthan,DAULAT RAM SARAN ,JNP(S),1980,,,,,
DAUSA,Rajasthan, NAWAL KISHORE SHARMA,INC(I),1980,,,,,
GANGANAGAR (SC) ,Rajasthan,BIRBAL ,INC(I),1980,,,,,
JAIPUR,Rajasthan, SATISH CHANDRA AGARWAL,JNP,1980,,,,,
JALORE (SC),Rajasthan, VIRDA RAM,INC(I),1980,,,,,
JHALAWAR,Rajasthan, CHATUR BHUJ,JNP,1980,,,,,
JHUNJHUNU,Rajasthan, BHIM SINGH,JNP,1980,,,,,
JODHPUR,Rajasthan, ASHOK GAHLOT,INC(I),1980,,,,,
KOTA,Rajasthan, KRISHAN KUMAR GOYAL,JNP,1980,,,,,
NAGAUR ,Rajasthan,NATHU RAM ,INC(U),1980,,,,,
PALI,Rajasthan, MOOL CHAND DAGA,INC(I),1980,,,,,
SALUMBER (ST),Rajasthan, JAI NARAIN,INC(I),1980,,,,,
SAWAI MADHOPUR (ST) ,Rajasthan,RAM KUMAR ,INC(I),1980,,,,,
SIKAR,Rajasthan, KUMBHA RAM ARYA,JNP(S),1980,,,,,
TONK (SC),Rajasthan, BANWARI LAL BAIRWA,INC(I),1980,,,,,
UDAIPUR,Rajasthan, MOHAN LAL SUKHADIA,INC(I),1980,,,,,
ARAKKONAM,Tamil Nadu, VELU A.M.,INC(I),1980,,,,,
CHENGALPATTU ,Tamil Nadu,ANBARASU  ERA ,INC(I),1980,,,,,
CHIDAMBARAM (SC),Tamil Nadu, KULANDAIVELU V.,DMK,1980,,,,,
COIMBATORE,Tamil Nadu, RAM MOHAN ALIAS ERA MOHAN R.,DMK,1980,,,,,
CUDDALORE,Tamil Nadu, MUTHUKUMARAN R.,INC(I),1980,,,,,
DHARMAPURI,Tamil Nadu, ARJUNAN K.,DMK,1980,,,,,
DINDIGUL,Tamil Nadu, MAYA THEVAR K.,DMK,1980,,,,,
GOBICHETTIPALAYAM ,Tamil Nadu,CHINNASAMY G. ,ADK,1980,,,,,
KARUR,Tamil Nadu, DORAI SEBASTIAN S.A.,INC(I),1980,,,,,
KRISHNAGIRI,Tamil Nadu, RAMAMURTHY K.,INC(I),1980,,,,,
MADRAS CENTRAL,Tamil Nadu, KALANIDHI A.,DMK,1980,,,,,
MADRAS NORTH ,Tamil Nadu,LAKSHMANAN G. ,DMK,1980,,,,,
MADRAS SOUTH,Tamil Nadu, VENKATARAMAN R.,INC(I),1980,,,,,
MADURAI,Tamil Nadu, SUBBURAMAN A.G.,INC(I),1980,,,,,
MAYILADUTURAI ,Tamil Nadu,KUDANTHAI RAMALINGAM N. ,INC(I),1980,,,,,
NAGAPATTINAM (SC),Tamil Nadu,MURUGAIYAN.K,CPI,1980,,,,,
NAGERCOIL ,Tamil Nadu,"DENNIS, N. ",INC(I),1980,,,,,
NILGIRIS,Tamil Nadu, PRABHU R.,INC(I),1980,,,,,
PALANI,Tamil Nadu, SANAPATHI GOUNDAR A.,INC(I),1980,,,,,
PERAMBALUR (SC),Tamil Nadu, MANI K.B.S.,INC(I),1980,,,,,
PERIYAKULAM,Tamil Nadu, NATARAJAN CUMBUM N.,DMK,1980,,,,,
POLLACHI (SC),Tamil Nadu, DHANDAPANI C.T.,DMK,1980,,,,,
PUDUKKOTTAI ,Tamil Nadu,V.N. SWAMYNATHAN ,INC(I),1980,,,,,
RAMANATHAPURAM,Tamil Nadu, SATHIYENDRAN M.S.K.,DMK,1980,,,,,
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC(I),1980,,,,,
SALEM,Tamil Nadu, PALANIAPPAN C.,DMK,1980,,,,,
SIVAGANGA,Tamil Nadu, SWAMINATHAN R.V.,INC(I),1980,,,,,
SIVAKASI,Tamil Nadu, SOURDARARAJAN N.,ADK,1980,,,,,
SRIPERUMBUDUR (SC),Tamil Nadu, NAGARATNAM T.,DMK,1980,,,,,
TENKASI (SC),Tamil Nadu, ARUNACHALAM M.,INC(I),1980,,,,,
THANJAVUR,Tamil Nadu,SINGARAVADIVEL.S,INC(I),1980,,,,,
TINDIVANAM,Tamil Nadu, RAMASWAMY PADAYATCHI S.S.,INC(I),1980,,,,,
TIRUCHENDUR,Tamil Nadu, KOSALRAM K. T.,INC(I),1980,,,,,
TIRUCHENGODE,Tamil Nadu, KANDASWAMY M.,DMK,1980,,,,,
TIRUCHIRAPPALLI ,Tamil Nadu,SELVARAJU N. ,DMK,1980,,,,,
TIRUNELVELI,Tamil Nadu, SIVAPRAKASAM D.S.A.,DMK,1980,,,,,
TIRUPPATTUR ,Tamil Nadu,MURUGIAN S. ,DMK,1980,,,,,
VANDAVASI,Tamil Nadu, PATTUSWAMY D.,INC(I),1980,,,,,
VELLORE,Tamil Nadu, ABDUL SAMAD A.K.A.,IND,1980,,,,,
AGRA,Uttar Pradesh, NIHAL SINGH,INC(I),1980,,,,,
AKBARPUR (SC),Uttar Pradesh, RAM AVADH,JNP(S),1980,,,,,
ALIGARH,Uttar Pradesh, INDRA KUMARI,JNP(S),1980,,,,,
ALLAHABAD,Uttar Pradesh, VISHWA NATH PRATAP SINGH,INC(I),1980,,,,,
ALMORA,Uttar Pradesh, HARISH CHANDRA SINGH,INC(I),1980,,,,,
AMETHI,Uttar Pradesh, SANJAY GANDHI,INC(I),1980,,,,,
AMROHA,Uttar Pradesh, CHANDRA PAL SINGH,JNP(S),1980,,,,,
AONLA,Uttar Pradesh, JAIPAL SINGH KASHYAP,JNP(S),1980,,,,,
AZAMGARH,Uttar Pradesh, CHANDRAJEET,JNP(S),1980,,,,,
BADAUN ,Uttar Pradesh,MOHAMMAD ASRAR AHMAD ,INC(I),1980,,,,,
BAGHPAT,Uttar Pradesh, CHARAN SINGH,JNP(S),1980,,,,,
BAHRAICH,Uttar Pradesh, MULANA SAIYAD MUZAFFAR HUSSAIN,INC(I),1980,,,,,
BALLIA,Uttar Pradesh, CHANDRA SHIKHAR,JNP,1980,,,,,
BALRAMPUR,Uttar Pradesh, CHANDRA BHAL MANI TEWARI,INC(I),1980,,,,,
BANDA,Uttar Pradesh, RAM NATH DUBEY,INC(I),1980,,,,,
BANSGAON (SC) ,Uttar Pradesh,MAHABIR PRASAD ,INC(I),1980,,,,,
BARA BANKI (SC) ,Uttar Pradesh,RAM KINKAR ,JNP(S),1980,,,,,
BAREILLY,Uttar Pradesh, NISAR YAR KHAN,JNP(S),1980,,,,,
BASTI (SC) ,Uttar Pradesh,KALPNATH ,INC(I),1980,,,,,
BIJNOR (SC) ,Uttar Pradesh,MANGAL RAM ,JNP(S),1980,,,,,
BILHAUR,Uttar Pradesh, RAM NARAIN TRIPATHI,INC(I),1980,,,,,
BULANDSHAHR,Uttar Pradesh, MAHMOOD HASAN KHAN,JNP(S),1980,,,,,
CHAIL,Uttar Pradesh, (SC) RAM NIHORE RAKESH,INC(I),1980,,,,,
CHANDAULI,Uttar Pradesh, NIHAL SINGH,JNP,1980,,,,,
DEORIA,Uttar Pradesh, RAMAYAN RAI,INC(I),1980,,,,,
DOMARIAGANJ,Uttar Pradesh, KAZI JALIL ABBASI,INC(I),1980,,,,,
ETAH,Uttar Pradesh, MALIK MOHD. MISHIR A.KHAN,INC(I),1980,,,,,
ETAWAH,Uttar Pradesh, RAM SINGH SHAKYA,JNP(S),1980,,,,,
FAIZABAD,Uttar Pradesh, JAI RAM VERMA,INC(I),1980,,,,,
FARRUKHABAD,Uttar Pradesh, DAYA RAM SHAKYA,JNP,1980,,,,,
FATEHPUR,Uttar Pradesh, HARI KISHAN SHASTRI,INC(I),1980,,,,,
FIROZABAD (SC),Uttar Pradesh, RAJESH KUMAR SINGH,IND,1980,,,,,
GARHWAL ,Uttar Pradesh,HEMWATI NANDAN BAHUGUNA ,INC(I),1980,,,,,
GHATAMPUR (SC),Uttar Pradesh, ASH KARAN SANKHWAR,JNP(S),1980,,,,,
GHAZIPUR,Uttar Pradesh, JAINUL BASHAR,INC(I),1980,,,,,
GHOSI,Uttar Pradesh, JHARKHANDE,CPI,1980,,,,,
GONDA,Uttar Pradesh, ANAND SINGH ALIAS ANNUBHAIYA,INC(I),1980,,,,,
GORAKHPUR,Uttar Pradesh, HARI KESH BAHADUR,INC(I),1980,,,,,
HAMIRPUR,Uttar Pradesh,DOONGAR SINGH,INC(I),1980,,,,,
HAPUR,Uttar Pradesh, ANWAR,JNP(S),1980,,,,,
HARDOI (SC),Uttar Pradesh, MANNI LAL,INC(I),1980,,,,,
HARDWAR (SC) ,Uttar Pradesh,JAGPAL SINGH ,JNP(S),1980,,,,,
HATHRAS (SC),Uttar Pradesh, CHANDRA PAL SHAILANI,JNP(S),1980,,,,,
JALAUN (SC),Uttar Pradesh, NATHURAM SHAKYAWAR,INC(I),1980,,,,,
JALESAR,Uttar Pradesh, CHAUDHARY MULTAN SINGH,JNP(S),1980,,,,,
JAUNPUR,Uttar Pradesh, AZIZULLA,JNP(S),1980,,,,,
JHANSI,Uttar Pradesh, VISHWA NATH SHARMA,INC(I),1980,,,,,
KAIRANA,Uttar Pradesh, GYATRI DEVI,JNP(S),1980,,,,,
KAISERGANJ,Uttar Pradesh, RANA BIR SINGH,INC(I),1980,,,,,
KANNAUJ,Uttar Pradesh, CHHOTEY SINGH YADAV,JNP(S),1980,,,,,
KANPUR ,Uttar Pradesh,ARIF MOHAMMAD KHAN ,INC(I),1980,,,,,
KHALILABAD  ,Uttar Pradesh,KRISHNA CHANDRA PANDEY,INC(I),1980,,,,,
KHERI ,Uttar Pradesh,U.K.VERMA(W),INC(I),1980,,,,,
KHURJA (SC),Uttar Pradesh, TRILOK CHAND,JNP(S),1980,,,,,
LALGANJ (SC),Uttar Pradesh, CHHAGUR,JNP(S),1980,,,,,
LUCKNOW ,Uttar Pradesh,SHEILA KAUL ,INC(I),1980,,,,,
MACHHALISHAHR ,Uttar Pradesh,SHEO SHARAN VERMA ,JNP(S),1980,,,,,
MAHARAJGANJ ,Uttar Pradesh, ASHFAQ HUSAIN,INC(I),1980,,,,,
MAINPURI,Uttar Pradesh, RAGHUNATH SINGH VERMA,JNP(S),1980,,,,,
MATHURA,Uttar Pradesh, CHAUDHARY DIGAMBER SINGH,JNP(S),1980,,,,,
MEERUT,Uttar Pradesh, MOHSINA KIDWAI,INC(I),1980,,,,,
MIRZAPUR,Uttar Pradesh, AZIZ IMAM,INC(I),1980,,,,,
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC(I),1980,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, KAILASH PATI,INC(I),1980,,,,,
MORADABAD,Uttar Pradesh, GHULAM MOHAMMAD KHAN,JNP(S),1980,,,,,
MUZAFFARNAGAR,Uttar Pradesh, GHAYOOR ALI KHAN,JNP(S),1980,,,,,
NAINITAL,Uttar Pradesh, NARAYANA DATT TEWARI,INC(I),1980,,,,,
PADRAUNA,Uttar Pradesh, KUNWAR CHANDRA PRATAP NARAIN SINGH,INC(I),1980,,,,,
PHULPUR,Uttar Pradesh, B.D. SINGH,JNP(S),1980,,,,,
PILIBHIT,Uttar Pradesh, HARISH KUMAR GANGWAR,INC(I),1980,,,,,
PRATAPGARH,Uttar Pradesh, AJIT PRATAP SINGH,INC(I),1980,,,,,
RAE BARELI ,Uttar Pradesh,A.K.NEHRU,INC(I),1980,,,,,
RAMPUR,Uttar Pradesh, ZULFIQAR ALI KHAN,INC(I),1980,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM PYARE PANIKA,INC(I),1980,,,,,
SAHARANPUR,Uttar Pradesh, RASHEED MASOOD,JNP(S),1980,,,,,
SAIDPUR (SC),Uttar Pradesh, RAJNATH SONKAR SHASTRI,JNP(S),1980,,,,,
SALEMPUR,Uttar Pradesh, RAM NAGINA MISRA,INC(I),1980,,,,,
SAMBHAL,Uttar Pradesh, BIJENDRA PAL SINGH,INC(I),1980,,,,,
SHAHABAD,Uttar Pradesh, DHARMGAJ SINGH,INC(I),1980,,,,,
SHAHJAHANPUR,Uttar Pradesh, KR. JATENDRA PRASAD,INC(I),1980,,,,,
SITAPUR,Uttar Pradesh, RAJENDRA KUMARI BAJPAI,INC(I),1980,,,,,
SULTANPUR,Uttar Pradesh, GIRIRAJ ISNGH,INC(I),1980,,,,,
TEHRI GARHWAL ,Uttar Pradesh,TREPAN SINGH NEGI ,INC(I),1980,,,,,
UNNAO,Uttar Pradesh, ZIAUR REHMAN ANSARI,INC(I),1980,,,,,
VARANASI,Uttar Pradesh, KAMALAPATI,INC(I),1980,,,,,
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1980,,,,,
ARAMBAGH ,West Bengal,BIJOY KRISHNA MODAK, CPM,1980,,,,,
ASANSOL,West Bengal, ANANDA GOPAL MUKHOPADHYA,INC(I),1980,,,,,
BALURGHAT (SC),West Bengal, BARMAN PALAS,RSP,1980,,,,,
BANKURA,West Bengal, ACHARIA BASUDEB,CPM,1980,,,,,
BARASAT,West Bengal, CHITTA BASU,FBL,1980,,,,,
BARRACKPORE,West Bengal, MAHAMMED ISMAIL,CPM,1980,,,,,
BASIRHAT ,West Bengal,INDRAJIT GUPTA ,CPI,1980,,,,,
BERHAMPORE ,West Bengal,TRIDIB CHAUDHARI ,RSP,1980,,,,,
BIRBHUM (SC) ,West Bengal,GADADHAR SAHA ,CPM,1980,,,,,
BOLPUR,West Bengal, SARADISH ROY,CPM,1980,,,,,
BURDWAN,West Bengal, SUSHIL KUMAR BHATTACHARYA,CPM,1980,,,,,
CALCUTTA NORTH EAST ,West Bengal,SUNIL MOITRA ,CPM,1980,,,,,
CALCUTTA NORTH WEST ,West Bengal,ASHOKE KUMAR SEN ,INC(I),1980,,,,,
CALCUTTA SOUTH SATYA ,West Bengal,SADHAN CHAKRABARTY ,CPM,1980,,,,,
CONTAI,West Bengal, GIRI SUDHIR KUMAR,CPM,1980,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1980,,,,,
DARJEELING,West Bengal, ANANDA PATHAK,CPM,1980,,,,,
DIAMOND HARBOUR,West Bengal, JYOTIRMOY BASU,CPM,1980,,,,,
DUM DUM,West Bengal, NIREN GHOSH,CPM,1980,,,,,
DURGAPUR (SC),West Bengal, KRISHNA CHANDRA HALDER,CPM,1980,,,,,
HOOGHLY,West Bengal, RUP CHAND PAL,CPM,1980,,,,,
HOWRAH,West Bengal, SAMAR MUKHERJEE,CPM,1980,,,,,
JADAVPUR,West Bengal, SOMNATH CHATTERJEE,CPM,1980,,,,,
JALPAIGURI,West Bengal, SUBODH SEN,CPM,1980,,,,,
JANGIPUR,West Bengal, ZAINAL ABEDIN,CPM,1980,,,,,
JHARGRAM (ST),West Bengal, HASADA MATILAL,CPM,1980,,,,,
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1980,,,,,
KATWA,West Bengal, SAIFUDDIN CHWDHURY,CPM,1980,,,,,
KRISHNAGAR,West Bengal, RENUPADA DAS,CPM,1980,,,,,
MALDA,West Bengal, ABDUL BARKAT ATAUL GHANI KHAN CHAWDHURY,INC(I),1980,,,,,
MATHURAPUR (SC),West Bengal, MUKUNDARAM MANDAL,CPM,1980,,,,,
MIDNAPORE,West Bengal, NARAYAN CHOUBEY,CPI,1980,,,,,
MURSHIDABAD,West Bengal, MASUDAL HASSAIN SYED,CPM,1980,,,,,
NABADWIP (SC),West Bengal, BIDHA GOHSE (GOSWAMI),CPM,1980,,,,,
PANSKURA,West Bengal, GITA MUKHERJEE,CPI,1980,,,,,
PURULIA,West Bengal, CHITTA RANJAN MAHATA,FBL,1980,,,,,
RAIGANJ,West Bengal, GOLAM YAZDANI,INC(I),1980,,,,,
SERAMPORE,West Bengal, DINEN BHATTACHARYA,CPM,1980,,,,,
TAMLUK,West Bengal, MISRA SATYAGOPAL,CPM,1980,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1980,,,,,
VISHNUPUR (SC),West Bengal, AJIT KUMAR SAHA,CPM,1980,,,,,
ADILABAD,Andhra, G. NARASIMHA REDDY,INC(I),1981,,,,,
AMALAPURAM (SC),Andhra, KUSUMA KRISHNAMURTHI,INC(I),1981,,,,,
ANAKAPALLI,Andhra, APPALA NAIDU S.R.A.S,INC(I),1981,,,,,
ANANTAPUR,Andhra, DARUR PULLAIAH,INC(I),1981,,,,,
BAPATLA,Andhra, ANKINEEDU PRASADA RAO PAMULAPATI,INC(I),1981,,,,,
BHADRACHALAM (ST),Andhra, B.RADHABAI ANANDA RAO,INC(I),1981,,,,,
BOBBILI,Andhra, P.V.GAJAPATHI RAJU,INC(I),1981,,,,,
CHITTOOR,Andhra, P. RAJAGOPAL NAIDU,INC(I),1981,,,,,
CUDDAPAH,Andhra, K. OBUL REDDY,INC(I),1981,,,,,
ELURU,Andhra, CHITTOORI SUBBARAO CHOWDARY,INC(I),1981,,,,,
GUNTUR,Andhra, N. G. RANGA,INC(I),1981,,,,,
HANAMKONDA,Andhra, P. V. NARSIMHA RAO,INC(I),1981,,,,,
HINDUPUR,Andhra, P. BAYAPA REDDY,INC(I),1981,,,,,
HYDERABAD,Andhra, K.S. NARAYANA,INC(I),1981,,,,,
KAKINADA,Andhra, SANJEEVI RAO M.S.,INC(I),1981,,,,,
KARIMNAGAR,Andhra, M.SATYANARAYANA RAO,INC(I),1981,,,,,
KHAMMAM,Andhra, KONDALA RAO JALAGAM,INC(I),1981,,,,,
KURNOOL,Andhra, K. VIJAYABHASKARA REDDI,INC(I),1981,,,,,
MACHILIPATNAM,Andhra, ANKINEEDU MAGANTI,INC(I),1981,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC(I),1981,,,,,
MEDAK,Andhra, INDIRA GANDHI,INC(I),1981,,,,,
MIRYALGUDA ,Andhra,G. S. REDDY ,INC(I),1981,,,,,
NAGARKURNOOL (SC),Andhra, ANANTHARAMULU MALLU,INC(I),1981,,,,,
NALGONDA,Andhra, T. DAMODAR REDDY,INC(I),1981,,,,,
NANDYAL,Andhra, P. VENKATA SUBBAIAH,INC(I),1981,,,,,
NARASAPUR,Andhra, ALLURI SUBHASCHANDRA BOSE,INC(I),1981,,,,,
NARASARAOPET,Andhra, K. BRAMHANANDA REDDY,INC(I),1981,,,,,
NELLORE (SC),Andhra, D. KAMAKSHAIAH,INC(I),1981,,,,,
NIZAMABAD,Andhra, M. RAMGOPAL REDDY,INC(I),1981,,,,,
ONGOLE,Andhra, VENKATA REDDI PULI,INC(I),1981,,,,,
PARVATHIPURAM (ST),Andhra, K.C.SURYANARAYANA DEO VYRICHERLA,INC(U),1981,,,,,
PEDDAPALLI (SC),Andhra, K. RAJAMALLU,INC(I),1981,,,,,
RAJAHMUNDRY,Andhra, S.B.P.PATTABHI RAMA RAO,INC(I),1981,,,,,
RAJAMPET,Andhra, P. PARTHASARATHY,INC(I),1981,,,,,
SECUNDERABAD,Andhra, P. SHIV SHANKER,INC(I),1981,,,,,
SIDDIPET (SC),Andhra, NANDI YELLAIAH,INC(I),1981,,,,,
SRIKAKULAM ,Andhra,RAJAGOPALARAO BODDEPALLI ,INC(I),1981,,,,,
TENALI,Andhra, MEDURI NAGESWARA RAO,INC(I),1981,,,,,
TIRUPATHI (SC),Andhra, PASALA PENCHALAIAH,INC(I),1981,,,,,
VIJAYAWADA,Andhra, VIDYA CHENNUPATI,INC(I),1981,,,,,
VISAKHAPATNAM,Andhra, APPALASWAMY KOMMURU,INC(I),1981,,,,,
WARANGAL,Andhra, MD. KAMALODDIN AHMED,INC(I),1981,,,,,
ARARIA (SC),Bihar, DUMAR LAL BAITHA,INC(I),1981,,,,,
ARRAH ,Bihar,CHANDRADEO PRASAD VERMA ,JNP(S),1981,,,,,
AURANGABAD,Bihar, SATYENDRA NARAIN SINGH,JNP,1981,,,,,
BAGAHA (SC) ,Bihar,BHOLA RAUT ,INC(I),1981,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1981,,,,,
BANKA,Bihar, CHANDRA SHEKHAR SINGH,INC(I),1981,,,,,
BARH,Bihar, DHARMVIR SINGH,INC(U),1981,,,,,
BEGUSARAI,Bihar, KRISHNA SHAHI,INC(I),1981,,,,,
BETTIAH,Bihar, KEDAR PANDEY,INC(I),1981,,,,,
BHAGALPUR,Bihar, BHAGWAT JHA AZAD,INC(I),1981,,,,,
BIKRAMGANJ,Bihar, TAPESHWAR SINGH,INC(I),1981,,,,,
BUXAR,Bihar, K. K. TIWARI,INC(I),1981,,,,,
CHAPRA,Bihar, SATYADEO SINGH,JNP,1981,,,,,
CHATRA,Bihar, RANJIT SINGH,INC(I),1981,,,,,
DARBHANGA,Bihar, HARI NATH MISHRA,INC(I),1981,,,,,
DHANBAD,Bihar, A. K. ROY,IND,1981,,,,,
DUMKA (ST),Bihar, SHIBU SIREN,IND,1981,,,,,
GAYA (SC),Bihar, RAMSWAROOP RAM,INC(I),1981,,,,,
GIRIDIH,Bihar, BINDESHWARI DUBEY,INC(I),1981,,,,,
GODDA,Bihar, SAMIN UDIN,INC(I),1981,,,,,
GOPALGANJ,Bihar, NAGINA RAI,INC(I),1981,,,,,
HAJIPUR (SC),Bihar, RAM VILAS PASWAN,JNP(S),1981,,,,,
HAZARIBAGH,Bihar, KUNWAR BASANT NARAYAN SINGH,JNP,1981,,,,,
JAHANABAD,Bihar, MAHENDARA PRASAD,INC(I),1981,,,,,
JAMSHEDPUR,Bihar, RUDRA PRATAP SARANGI,JNP,1981,,,,,
JHANJHARPUR,Bihar, DHANIK LAL MANDAL,JNP(S),1981,,,,,
KATIHAR,Bihar, SHAH TARIQUE ANWAR,INC(I),1981,,,,,
KHAGARIA,Bihar, SATISH PD. SINGH,INC(I),1981,,,,,
KHUNTI (ST),Bihar,NIREL ENEM HORO,JKD,1981,,,,,
KISHANGANJ,Bihar, ZAMILUR RAHMAN,INC(I),1981,,,,,
KODARMA,Bihar, REET LAL PD. VERMA,JNP,1981,,,,,
LOHARDAGA (ST),Bihar,KARTIK ORAON,INC(I),1981,,,,,
MADHEPURA,Bihar, RAJENDRA PD. YADAV,INC(U),1981,,,,,
MADHUBANI,Bihar,B.JHA,CPI,1981,,,,,
MAHARAJGANJ,Bihar, KRISHNA PRATAP SINGH,INC(I),1981,,,,,
MONGER  ,Bihar,DEVENDRA PRASAD YADAV,INC(U),1981,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1981,,,,,
MUZAFFARPUR,Bihar, GEORGE FARNANDES,JNP(S),1981,,,,,
NALANDA,Bihar, VIJAY KUMAR YADAV,CPI,1981,,,,,
NAWADA (SC),Bihar, KUNWAR RAM,INC(I),1981,,,,,
PALAMAU (SC) ,Bihar,KAMLA KUMARI,INC(I),1981,,,,,
PATNA,Bihar, RAMAVATAR SHASTRI,CPI,1981,,,,,
PURNEA,Bihar, MADHURI SINGH,INC(I),1981,,,,,
RAJMAHAL (ST),Bihar,SETH HEMREM,INC(I),1981,,,,,
RANCHI,Bihar, SHIVA PRASAD SAHU,INC(I),1981,,,,,
ROSERA (SC),Bihar, BALESHWAR RAM,INC(I),1981,,,,,
SAHARSA,Bihar, KAMAL NATH JHA,INC(I),1981,,,,,
SAMASTIPUR,Bihar, AJIT KUMAR MEHTA,JNP(S),1981,,,,,
SASARAM (SC),Bihar, JAGJIWAN RAM,JNP,1981,,,,,
SHEOHAR,Bihar, RAM DULARI SINGH,INC(I),1981,,,,,
SINGHBHUM (ST),Bihar,BAGUN SUMBRUI,JNP,1981,,,,,
SITAMARHI,Bihar, BALIRAM BHAGAT,INC(U),1981,,,,,
SIWAN,Bihar, M. YUSUF,INC(I),1981,,,,,
VAISHALI,Bihar, KISHROI SINHA,JNP,1981,,,,,
CHANDNI CHOWK,Delhi, BHIKU RAM JAIN,INC(I),1981,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC(I),1981,,,,,
EAST DELHI,Delhi, H.K.L. BHAGAT,INC(I),1981,,,,,
KAROL BAGH (SC) ,Delhi,DHARAM DASS SHASTRI ,INC(I),1981,,,,,
NEW DELHI ,Delhi,ATAL BIHARI VAJPAYEE ,JNP,1981,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC(I),1981,,,,,
SOUTH DELHI,Delhi, CHARANJIT SINGH (WEST FRIENDS COLONY),INC(I),1981,,,,,
AHMEDABAD,Gujarat, MAGANBHAI BAROT,INC(I),1981,,,,,
AMRELI ,Gujarat,RAVANI NAVINCHANDRA PARMANANDDAS ,INC(I),1981,,,,,
ANAND,Gujarat, ISHVARBHAI KHODABHAI CHAVDA,INC(I),1981,,,,,
BANASKANTHA,Gujarat, BHERAVDAN KHETDANJI GADHAVI,INC(I),1981,,,,,
BARODA ,Gujarat,GAEKWAD RANJITSINHJI PRATAPSINJI ,INC(I),1981,,,,,
BHAVNAGAR,Gujarat, GOHIL GIGABHAI BHAVUBHAI,INC(I),1981,,,,,
BROACH,Gujarat, PATEL AHMEDBHAI MOHAMMEDBHAI,INC(I),1981,,,,,
BULSAR (ST) ,Gujarat,PATEL UTTAMBHAI HARJIBHAI ,INC(I),1981,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,RATHAWA AMARSINGHBHAI VIRIYABHAI ,INC(I),1981,,,,,
DHANDHUKA (SC),Gujarat, MAKWANA NARSINHBHAI KARSANBHAI,INC(I),1981,,,,,
DOHAD (ST) ,Gujarat,DAMOR SOMJIBHAI PUNJABHAI ,INC(I),1981,,,,,
GANDHINAGAR,Gujarat, AMRIT MOHANAL PATEL,INC(I),1981,,,,,
GODHRA,Gujarat, MAHARAOL JAYDEEPSINHJI SUBHAGSINHJI,INC(I),1981,,,,,
JAMNAGAR,Gujarat, JADEJA DOLATSINHJI PRATAPSINHJI,INC(I),1981,,,,,
JUNAGADH,Gujarat, PATEL MOHANLAL LALJIBHAI,INC(I),1981,,,,,
KAIRA,Gujarat, AJITSINH FULSINHJI DABHI,INC(I),1981,,,,,
KAPADVANJ,Gujarat, SOLANKI NATAVARSINHJI KESARISINHJI,INC(I),1981,,,,,
KUTCH  ,Gujarat,MEHTA MAHIPATRAY MULSHANKER,INC(I),1981,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC(I),1981,,,,,
MEHSANA,Gujarat, CHAUDHARY MOTIBHAI RANCHHODBHAI,JNP,1981,,,,,
PATAN (SC),Gujarat, PARMAR HIRALAL RANCHHODDAS,INC(I),1981,,,,,
PORBANDAR,Gujarat, ODEDRA MALDEJI MANDLIKJI,INC(I),1981,,,,,
RAJKOT,Gujarat, MAVANI RAMJIBHAI BHURABHAI,INC(I),1981,,,,,
SABARKANTHA,Gujarat, PATEL SHANTUBHAI CUNIBHAI,INC(I),1981,,,,,
SURAT,Gujarat, PATEL CHHAGANBHAI DEVABHAI,INC(I),1981,,,,,
SURENDRANAGAR ,Gujarat,DIGVIJAYSINH PRATAPSINHG ZALA ,INC(I),1981,,,,,
AMBALA (SC) ,Haryana,SURAJ BHAN ,JNP,1981,,,,,
BHIWANI,Haryana, BANSI LAL,INC(I),1981,,,,,
FARIDABAD,Haryana, TAYYAB HUSSAIN,INC(I),1981,,,,,
HISSAR,Haryana, MANI RAM S/O HARJI RAM,JNP(S),1981,,,,,
KARNAL,Haryana, CHIRANJI LAL,INC(I),1981,,,,,
