ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S12,SEONI,MADHYA PRADESH,VIMLA VARMA,INC,1998,26,GEN,3,F,312097
S12,CHHINDWARA,MADHYA PRADESH,KAMALNATH,INC,1998,27,GEN,3,M,406249
S12,BETUL,MADHYA PRADESH,VIJAY KUMAR KHANDELWAL (MUNNI BHAIYA),BJP,1998,28,GEN,3,M,284091
S12,HOSHANGABAD,MADHYA PRADESH,SARTAJ SINGH,BJP,1998,29,GEN,3,M,387395
S12,BHOPAL,MADHYA PRADESH,SUSHIL CHANDRA VERMA,BJP,1998,30,GEN,3,M,494481
S12,VIDISHA,MADHYA PRADESH,SHIVRAJSINGH,BJP,1998,31,GEN,3,M,374406
S12,RAJGARH,MADHYA PRADESH,LAXMAN SINGH,INC,1998,32,GEN,3,M,352289
S12,SHAJAPUR,MADHYA PRADESH,GEHLOT THAVARCHAND,BJP,1998,33,SC,3,M,371571
S12,KHANDWA,MADHYA PRADESH,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),BJP,1998,34,GEN,3,M,334340
S12,KHARGONE,MADHYA PRADESH,RAMESHWAR PATIDAR,BJP,1998,35,GEN,3,M,311394
S12,DHAR,MADHYA PRADESH,GAJENDRA SINGH RAJUKHEDI,INC,1998,36,ST,3,M,344858
S12,INDORE,MADHYA PRADESH,SUMITRA MAHAJAN,BJP,1998,37,GEN,3,F,440047
S12,UJJAIN,MADHYA PRADESH,DR. SATYANARAYAN JATIYA,BJP,1998,38,SC,3,M,348405
S12,JHABUA,MADHYA PRADESH,KANTILAL BHURIYA,INC,1998,39,ST,3,M,307735
S12,MANDSAUR,MADHYA PRADESH,DR. LAXMINARAYAN PANDEY,BJP,1998,40,GEN,3,M,412849
S13,RAJAPUR,MAHARASHTRA,SURESH PRABHU,SHS,1998,1,GEN,3,M,217766
S13,RATNAGIRI,MAHARASHTRA,ANANT GANGARAM GEETE,SHS,1998,2,GEN,3,M,238928
S13,KOLABA,MAHARASHTRA,RAMSHETH THAKUR,PWPI,1998,3,GEN,3,M,248353
S13,MUMBAI SOUTH,MAHARASHTRA,DEORA MURLI,INC,1998,4,GEN,3,M,178597
S13,MUMBAI SOUTH CENTRAL,MAHARASHTRA,MOHAN VISHNU RAWALE,SHS,1998,5,GEN,3,M,171376
S13,MUMBAI NORTH CENTRAL,MAHARASHTRA,RAMDAS ATHAWALE,RPI,1998,6,GEN,3,M,282373
S13,MUMBAI NORTH EAST,MAHARASHTRA,GURUDAS KAMAT,INC,1998,7,GEN,3,M,525911
S13,MUMBAI NORTH WEST,MAHARASHTRA,MADHUKAR SIRPOTDAR,SHS,1998,8,GEN,3,M,370229
S13,MUMBAI NORTH,MAHARASHTRA,RAM NAIK,BJP,1998,9,GEN,3,M,531417
S13,THANE,MAHARASHTRA,PARANJPE PRAKASH VISHWANATH,SHS,1998,10,GEN,3,M,553210
